objectid,x,y,date,city,country,venue,recorded,available,tour,regdates,the_geom,cartodb_id,created_at,updated_at,year
20,147.329399,-42.879398,1993-12-03 00:00:00+00,Hobart,Australia,Hellenic Hall,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000B98AC56F8A6A62407B15191D907045C0,20,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
21,147.1347,-41.438798,1993-12-04 00:00:00+00,Launceston,Australia,Windmill Hill War Memorial,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000AED85F764F6462406DC669882AB844C0,21,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
22,153.277298,-28.813496,1997-06-23 00:00:00+00,Lismore,Australia,Lismore Uni,true,true,1997 Summer Australia/New Zealand Tour,0,0101000020E6100000E1270EA0DF286340446D1B4641D03CC0,22,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
23,153.277298,-28.813496,1993-11-26 00:00:00+00,Lismore,Australia,Italo Club,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000E1270EA0DF286340446D1B4641D03CC0,23,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
24,151.288297,-33.797997,1991-10-26 00:00:00+00,Manly,Australia,Manly Youth Center,true,false,1991 Australia/New Zealand/Japan Tour,0,0101000020E61000001E51A1BA39E962402FA704C424E640C0,24,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
25,151.288297,-33.797997,1993-11-19 00:00:00+00,Manly,Australia,Manly High School,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E61000001E51A1BA39E962402FA704C424E640C0,25,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
26,144.963296,-37.813995,1991-10-18 00:00:00+00,Melbourne,Australia,Melbourne Uni,true,false,1991 Australia/New Zealand/Japan Tour,0,0101000020E6100000C40B2252D31E6240C30DF8FC30E842C0,26,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
27,144.963296,-37.813995,1991-10-20 00:00:00+00,Melbourne,Australia,Melbourne Uni,true,true,1991 Australia/New Zealand/Japan Tour,0,0101000020E6100000C40B2252D31E6240C30DF8FC30E842C0,27,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
28,144.963296,-37.813995,1997-06-17 00:00:00+00,Melbourne,Australia,Lava Lounge,true,true,1997 Summer Australia/New Zealand Tour,0,0101000020E6100000C40B2252D31E6240C30DF8FC30E842C0,28,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
29,144.963296,-37.813995,1993-11-14 00:00:00+00,Melbourne,Australia,Collingwood Town Hall,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000C40B2252D31E6240C30DF8FC30E842C0,29,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
30,144.963296,-37.813995,1993-11-13 00:00:00+00,Melbourne,Australia,Wall St.,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000C40B2252D31E6240C30DF8FC30E842C0,30,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
31,144.963296,-37.813995,1997-06-18 00:00:00+00,Melbourne,Australia,Lava Lounge,true,true,1997 Summer Australia/New Zealand Tour,0,0101000020E6100000C40B2252D31E6240C30DF8FC30E842C0,31,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
32,151.776496,-32.927197,1993-11-24 00:00:00+00,Newcastle,Australia,Morrow Park Bowls Club,true,true,1993 Japan/Australia/New Zealand Tour,0,0101000020E610000032AF230ED9F8624083F92B64AE7640C0,32,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
33,151.776496,-32.927197,1996-11-16 00:00:00+00,Newcastle,Australia,Cambridge Hotel,true,false,1996 US/Japan/Hong Kong/Australia Tour,0,0101000020E610000032AF230ED9F8624083F92B64AE7640C0,33,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1996
34,115.861399,-31.952196,1996-11-10 00:00:00+00,Perth,Australia,Univ. of West Australia,true,false,1996 US/Japan/Hong Kong/Australia Tour,0,0101000020E6100000A873452921F75C40CC61F71DC3F33FC0,34,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1996
35,115.861399,-31.952196,1993-11-10 00:00:00+00,Perth,Australia,Club O,false,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000A873452921F75C40CC61F71DC3F33FC0,35,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
36,151.207297,-33.8679,1993-12-01 00:00:00+00,Sydney,Australia,Uni Manning Bar,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,36,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
37,151.207297,-33.8679,1991-10-25 00:00:00+00,Sydney,Australia,Sydney Uni,true,false,1991 Australia/New Zealand/Japan Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,37,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
38,151.207297,-33.8679,1996-11-15 00:00:00+00,Sydney,Australia,Sydney University,true,false,1996 US/Japan/Hong Kong/Australia Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,38,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1996
39,151.207297,-33.8679,1997-06-15 00:00:00+00,Sydney,Australia,Metro,true,true,1997 Summer Australia/New Zealand Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,39,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
40,151.207297,-33.8679,1993-11-20 00:00:00+00,Sydney,Australia,Sydney Town hall,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,40,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
41,151.207297,-33.8679,1997-06-14 00:00:00+00,Sydney,Australia,Manly Youth Center,true,true,1997 Summer Australia/New Zealand Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,41,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
42,151.207297,-33.8679,1991-10-27 00:00:00+00,Sydney,Australia,Burland Centre,true,false,1991 Australia/New Zealand/Japan Tour,0,0101000020E6100000E371512DA2E662406519E25817EF40C0,42,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
43,150.893498,-34.423997,1993-11-18 00:00:00+00,Wollongong,Australia,Youth Centre,true,false,1993 Japan/Australia/New Zealand Tour,0,0101000020E610000053211E8997DC6240124DA088453641C0,43,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
44,9.733098,47.416696,1990-10-18 00:00:00+00,Dornbirn,Austria,Stadt Halle,true,false,1990 Fall European Tour,0,0101000020E6100000A986FD9E58772340E02F664B56B54740,44,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1990
45,9.6831,47.366698,1992-06-17 00:00:00+00,Hohenems,Austria,Transmitter Festival,true,false,1992 Spring European Tour,0,0101000020E610000092CB7F48BF5D23401AC1C6F5EFAE4740,45,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1992
46,14.286097,48.306399,1988-11-10 00:00:00+00,Linz,Austria,Kapu,false,false,1988 Fall European Tour,0,0101000020E6100000A9F7544E7B922C4078431A1538274840,46,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1988
47,16.372096,48.208496,1999-09-26 00:00:00+00,Vienna,Austria,Flexx,true,false,1999 Fall European Tour,0,0101000020E6100000F0F8F6AE415F304064AC36FFAF1A4840,47,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1999
48,16.372096,48.208496,1990-10-20 00:00:00+00,Vienna,Austria,Arena,true,false,1990 Fall European Tour,0,0101000020E6100000F0F8F6AE415F304064AC36FFAF1A4840,48,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1990
49,16.372096,48.208496,1995-06-24 00:00:00+00,Vienna,Austria,Arena,true,false,1995 Spring/Summer European Tour,0,0101000020E6100000F0F8F6AE415F304064AC36FFAF1A4840,49,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1995
50,16.372096,48.208496,1992-06-14 00:00:00+00,Vienna,Austria,Arena,true,true,1992 Spring European Tour,0,0101000020E6100000F0F8F6AE415F304064AC36FFAF1A4840,50,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1992
51,14.033297,48.166698,1990-10-19 00:00:00+00,Wels,Austria,Schlachthof,true,false,1990 Fall European Tour,0,0101000020E61000001D1CEC4D0C112C4080272D5C56154840,51,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1990
