x,y,date,city,country,venue,tour,year
151.207297,-33.8679,1991-10-27 00:00:00+00,Sydney,Australia,Burland Centre,1991 Australia/New Zealand/Japan Tour,1991
150.893498,-34.423997,1993-11-18 00:00:00+00,Wollongong,Australia,Youth Centre,1993 Japan/Australia/New Zealand Tour,1993
9.733098,47.416696,1990-10-18 00:00:00+00,Dornbirn,Austria,Stadt Halle,1990 Fall European Tour,1990
9.6831,47.366698,1992-06-17 00:00:00+00,Hohenems,Austria,Transmitter Festival,1992 Spring European Tour,1992
14.286097,48.306399,1988-11-10 00:00:00+00,Linz,Austria,Kapu,1988 Fall European Tour,1988
16.372096,48.208496,1999-09-26 00:00:00+00,Vienna,Austria,Flexx,1999 Fall European Tour,1999
16.372096,48.208496,1990-10-20 00:00:00+00,Vienna,Austria,Arena,1990 Fall European Tour,1990
16.372096,48.208496,1995-06-24 00:00:00+00,Vienna,Austria,Arena,1995 Spring/Summer European Tour,1995
16.372096,48.208496,1992-06-14 00:00:00+00,Vienna,Austria,Arena,1992 Spring European Tour,1992
14.033297,48.166698,1990-10-19 00:00:00+00,Wels,Austria,Schlachthof,1990 Fall European Tour,1990
14.033297,48.166698,1995-06-25 00:00:00+00,Wels,Austria,Schlachthof,1995 Spring/Summer European Tour,1995
14.033297,48.166698,1992-06-15 00:00:00+00,Wels,Austria,Schlachthof,1992 Spring European Tour,1992
4.035499,50.935999,1990-09-23 00:00:00+00,Aalst,Belgium,Netwerk,1990 Fall European Tour,1990
4.348796,50.850496,1999-10-15 00:00:00+00,Brussels,Belgium,Ancienne Belgique,1999 Fall European Tour,1999
2.863796,51.0325,1992-05-26 00:00:00+00,Diksmuiden,Belgium,Boter Halle,1992 Spring European Tour,1992
4.989199,51.1656,1990-09-22 00:00:00+00,Geel,Belgium,De Bogaerd,1990 Fall European Tour,1990
3.716698,51.049995,1995-05-19 00:00:00+00,Gent,Belgium,Zaal Vooruit,1995 Spring/Summer European Tour,1995
3.716698,51.049995,1988-10-16 00:00:00+00,Gent,Belgium,Democrazy,1988 Fall European Tour,1988
4.700898,50.879598,1995-05-18 00:00:00+00,Leuven,Belgium,Lido,1995 Spring/Summer European Tour,1995
5.464797,50.780498,1992-05-22 00:00:00+00,Tongeren,Belgium,Concordia,1992 Spring European Tour,1992
-43.937799,-19.9208,1997-08-16 00:00:00+00,Belo Horizonte,Brazil,Trash,1997 Summer Brazil/South America Tour,1997
-43.937799,-19.9208,1994-08-15 00:00:00+00,Belo Horizonte,Brazil,Belo Horizonte Independent Music Festival,1994 Fall Brazil Tour,1994
-47.929698,-15.7797,1997-08-10 00:00:00+00,Brasilia,Brazil,Teatro Garagem Do Sesc,1997 Summer Brazil/South America Tour,1997
-47.929698,-15.7797,1997-08-09 00:00:00+00,Brasilia,Brazil,Teatro Garagem Do Sesc,1997 Summer Brazil/South America Tour,1997
-47.060796,-22.905597,1997-08-19 00:00:00+00,Campinas,Brazil,A.S.S.A.M.P.I.,1997 Summer Brazil/South America Tour,1997
